Lineup,P1,P2,C,1B,2B,3B,SS,OF1,OF2,OF3,Salary,Projection,Leverage
1,Brandon Woodruff (42614725),Freddy Peralta (42614727),William Contreras (42614769),Vinnie Pasquantino (42614808),Vaughn Grissom (42615150),Alex Bregman (42614799),Bobby Witt Jr. (42614748),Ian Happ (42614825),Garrett Mitchell (42614866),Tyrone Taylor (42615063),50000,159.85,72.16
2,Brandon Woodruff (42614725),Freddy Peralta (42614727),William Contreras (42614769),Vinnie Pasquantino (42614808),Michael Massey (42615037),Alex Bregman (42614799),Joey Ortiz (42614941),Kyle Schwarber (42614747),Ian Happ (42614825),Tyrone Taylor (42615063),49600,153.62,69.17
3,Brandon Woodruff (42614725),Freddy Peralta (42614727),Moises Ballesteros (42614901),Vinnie Pasquantino (42614808),Vaughn Grissom (42615150),Alex Bregman (42614799),Bobby Witt Jr. (42614748),Christian Yelich (42614753),Garrett Mitchell (42614866),Bryce Teodosio (42615075),49600,153.05,73.61
4,Tarik Skubal (42614724),Freddy Peralta (42614727),William Contreras (42614769),Vinnie Pasquantino (42614808),Michael Massey (42615037),Alex Bregman (42614799),Bobby Witt Jr. (42614748),Garrett Mitchell (42614866),Isaac Collins (42614949),Tanner Murray (42615053),49900,149.96,67.91
5,Tarik Skubal (42614724),Freddy Peralta (42614727),William Contreras (42614769),Vinnie Pasquantino (42614808),Vaughn Grissom (42615150),Alex Bregman (42614799),Bobby Witt Jr. (42614748),Ian Happ (42614825),Brandon Lockridge (42614982),Bryce Teodosio (42615075),50000,151.62,67.58
6,Tarik Skubal (42614724),Freddy Peralta (42614727),Moises Ballesteros (42614901),Vinnie Pasquantino (42614808),Vaughn Grissom (42615150),Alex Bregman (42614799),Bobby Witt Jr. (42614748),Christian Yelich (42614753),Tyrone Taylor (42615063),Jared Young (42614998),49700,146.38,65.98
7,Brandon Woodruff (42614725),Freddy Peralta (42614727),William Contreras (42614769),Vinnie Pasquantino (42614808),Vaughn Grissom (42615150),Alex Bregman (42614799),Bobby Witt Jr. (42614748),Ian Happ (42614825),Garrett Mitchell (42614866),Tyrone Taylor (42615063),50000,159.85,72.16
8,Brandon Woodruff (42614725),Freddy Peralta (42614727),William Contreras (42614769),Vinnie Pasquantino (42614808),Michael Massey (42615037),Alex Bregman (42614799),Joey Ortiz (42614941),Kyle Schwarber (42614747),Ian Happ (42614825),Tyrone Taylor (42615063),49600,153.62,69.17
9,Brandon Woodruff (42614725),Freddy Peralta (42614727),William Contreras (42614769),Vinnie Pasquantino (42614808),Michael Massey (42615037),Alex Bregman (42614799),Bobby Witt Jr. (42614748),Ian Happ (42614825),Kyle Isbel (42614905),Tanner Murray (42615053),49800,153.78,69.90
10,Brandon Woodruff (42614725),Freddy Peralta (42614727),Moises Ballesteros (42614901),Vinnie Pasquantino (42614808),Brice Turang (42614761),Alex Bregman (42614799),Bobby Witt Jr. (42614748),Garrett Mitchell (42614866),Tyrone Taylor (42615063),Jared Young (42614998),49900,148.01,61.74
11,Tarik Skubal (42614724),Freddy Peralta (42614727),William Contreras (42614769),Vinnie Pasquantino (42614808),Michael Massey (42615037),Alex Bregman (42614799),Bobby Witt Jr. (42614748),Garrett Mitchell (42614866),Isaac Collins (42614949),Tanner Murray (42615053),49900,149.96,67.91
12,Tarik Skubal (42614724),Freddy Peralta (42614727),William Contreras (42614769),Vinnie Pasquantino (42614808),Vaughn Grissom (42615150),Alex Bregman (42614799),Bobby Witt Jr. (42614748),Ian Happ (42614825),Brandon Lockridge (42614982),Bryce Teodosio (42615075),50000,151.62,67.58
13,Tarik Skubal (42614724),Brandon Woodruff (42614725),William Contreras (42614769),Jorge Polanco (42614838),Vaughn Grissom (42615150),Maikel Garcia (42614776),Bobby Witt Jr. (42614748),Garrett Mitchell (42614866),Tyrone Taylor (42615063),Bryce Teodosio (42615075),49900,143.02,59.24
14,Tarik Skubal (42614724),Brandon Woodruff (42614725),Salvador Perez (42614854),Jorge Polanco (42614838),Brice Turang (42614761),Matt Shaw (42614955),Bobby Witt Jr. (42614748),Garrett Mitchell (42614866),Tyrone Taylor (42615063),Bryce Teodosio (42615075),49500,140.67,55.95
15,Tarik Skubal (42614724),Brandon Woodruff (42614725),Moises Ballesteros (42614901),Jorge Polanco (42614838),Brice Turang (42614761),Maikel Garcia (42614776),Joey Ortiz (42614941),Ian Happ (42614825),Kyle Isbel (42614905),Tyrone Taylor (42615063),49600,140.40,46.59
16,Tarik Skubal (42614724),Brandon Woodruff (42614725),Salvador Perez (42614854),Jorge Polanco (42614838),Brice Turang (42614761),Colt Keith (42614817),Joey Ortiz (42614941),Ian Happ (42614825),Kyle Isbel (42614905),Matt Shaw (42614955),49800,142.24,49.06
17,Brandon Woodruff (42614725),Andrew Abbott (42614741),Salvador Perez (42614854),Jorge Polanco (42614838),Brice Turang (42614761),Maikel Garcia (42614776),Joey Ortiz (42614941),Kyle Schwarber (42614747),Ian Happ (42614825),Matt Shaw (42614955),49700,148.32,58.10
18,Tarik Skubal (42614724),Andrew Abbott (42614741),Moises Ballesteros (42614901),Jorge Polanco (42614838),Brice Turang (42614761),Maikel Garcia (42614776),Joey Ortiz (42614941),Kyle Schwarber (42614747),Ian Happ (42614825),Bryce Teodosio (42615075),49600,139.69,51.79
19,Tarik Skubal (42614724),Cam Schlittler (42614728),Moises Ballesteros (42614901),Jorge Polanco (42614838),Brice Turang (42614761),Maikel Garcia (42614776),Joey Ortiz (42614941),Seiya Suzuki (42614796),Ian Happ (42614825),Tyler Callihan (42615207),49700,134.30,37.81
20,Tarik Skubal (42614724),Sandy Alcantara (42614726),Moises Ballesteros (42614901),Jorge Polanco (42614838),Brice Turang (42614761),Maikel Garcia (42614776),Joey Ortiz (42614941),Seiya Suzuki (42614796),Kyle Isbel (42614905),Bryce Teodosio (42615075),49700,132.41,32.40
